ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Predicted_Delay,Delay_Confidence_%
1,D,Flight,4,2,177,3,low,F,44,1233,1,Yes,99.8
2,F,Flight,4,5,216,2,low,M,59,3088,1,Yes,100.0
3,A,Flight,2,2,183,4,low,M,48,3374,1,Yes,100.0
4,B,Flight,3,3,176,4,medium,M,10,1177,1,Yes,54.5
5,C,Flight,2,2,184,3,medium,F,46,2484,1,Yes,100.0
6,F,Flight,3,1,162,3,medium,F,12,1417,1,Yes,99.9
7,D,Flight,3,4,250,3,low,F,3,2371,1,Yes,93.7
8,F,Flight,4,1,233,2,low,F,48,2804,1,Yes,100.0
9,A,Flight,3,4,150,3,low,F,11,1861,1,Yes,99.9
10,B,Flight,3,2,164,3,medium,F,29,1187,1,Yes,99.9
11,C,Flight,3,4,189,2,medium,M,12,2888,1,Yes,100.0
12,F,Flight,4,5,232,3,medium,F,32,3253,1,Yes,100.0
13,D,Flight,3,5,198,3,medium,F,1,3667,1,Yes,93.4
14,F,Flight,4,4,275,3,high,M,29,2602,1,Yes,100.0
15,A,Flight,4,3,152,3,low,M,43,1009,1,Yes,99.8
16,B,Flight,4,3,227,3,low,F,45,2707,1,Yes,100.0
17,C,Flight,3,4,143,2,medium,F,6,1194,1,Yes,83.2
18,F,Ship,5,5,227,3,medium,M,36,3952,1,Yes,100.0
19,D,Ship,5,5,239,3,high,M,18,2495,1,Yes,100.0
20,F,Ship,4,5,145,3,medium,M,45,1059,1,Yes,99.8
21,A,Ship,3,3,161,2,medium,F,38,1521,1,Yes,99.9
22,B,Ship,3,1,232,4,medium,F,51,2899,1,Yes,100.0
23,C,Ship,2,5,156,2,low,M,2,1750,1,Yes,81.5
24,F,Ship,4,3,211,3,high,M,12,3922,1,Yes,100.0
25,D,Ship,4,5,251,2,medium,F,28,3561,1,Yes,100.0
26,F,Ship,3,1,225,4,low,M,29,3496,1,Yes,100.0
27,A,Ship,4,1,172,3,high,F,24,1066,1,Yes,99.8
28,B,Ship,5,1,162,3,medium,M,31,1435,1,Yes,99.8
29,C,Ship,2,3,234,4,low,M,44,3134,1,Yes,100.0
30,F,Ship,5,4,183,2,low,F,36,3819,1,Yes,100.0
31,D,Ship,3,4,266,2,medium,F,38,2741,1,Yes,100.0
32,F,Ship,5,3,257,2,low,F,61,3341,1,Yes,100.0
33,A,Ship,3,1,223,3,low,F,22,3795,1,Yes,100.0
